sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_0,gender_1
39,-1.295006430727234,2,-0.4206141834914433,0,-1.4237210871757093,1,56.86,-0.5223833757241804,True,False
40,-0.21591447472981276,2,-0.7285339293741234,2,1.4543486690564895,0,62.56,1.313539200699588,False,True
41,0.7552682856678661,1,1.7348240376873176,0,-0.9623511262529908,0,66.72,-0.017773076941039304,True,False
44,1.834360241665287,1,-0.1126944376087632,0,1.60081532331767,1,62.9,0.12179998442451034,False,True
45,0.3236315032688978,1,1.8887839106286577,0,1.1614153605341284,0,69.7,-0.9518389491566408,True,False
48,-1.0791880395277498,1,-1.806253039963504,0,0.3558487620976348,0,54.55,-0.9088933918133947,False,True
49,-0.8633696483282655,1,-0.1126944376087632,0,-0.6694178177306296,0,62.46,-0.41501948236606523,False,True
51,0.34521334238884654,2,-0.0511104884322263,0,-0.5961844906000392,1,62.98,-0.9518389491566408,True,False
54,-9.608353032855811e-05,2,0.503145054156597,2,1.0149487062729476,1,71.04,1.732258384796237,False,True
55,-1.0791880395277498,2,0.041265435332576865,0,-1.0052019277011552e-16,1,65.56,-0.7800567197836565,True,False
56,-0.3669873485694523,2,-0.5745740564327834,0,-0.15678452781649738,1,52.71,-0.7371111624404106,False,True
57,0.15097679030931102,1,-1.1288295990216077,0,-0.3764845092082683,0,66.88,-0.5223833757241804,False,True
58,0.6473590900681241,1,0.8110648000392772,0,0.5023154163588154,0,63.59,0.7659833445732009,False,True
59,-0.8633696483282655,2,-0.1126944376087632,0,0.06291545357527356,0,57.99,-0.22176447432145802,False,True
60,-0.4770547280811888,2,0.5200806401801444,2,-1.1381111113664073,0,56.66,-0.2539736423288926,False,True
61,-9.608353032855811e-05,2,0.503145054156597,0,-0.9623511262529908,0,57.24,-0.30765558900795015,False,True
62,0.36679518150879525,1,-0.2835898965736506,0,-0.8451778028440462,0,62.48,0.12179998442451034,False,True
63,-0.6259694180088325,2,-0.20507036137356638,2,-1.035584453383581,0,59.69,-0.5223833757241804,True,False
65,0.3236315032688978,1,0.9650246729806172,0,-0.8891177991224005,0,58.78,-0.5223833757241804,False,True
67,0.4315406988686399,2,-0.4206141834914433,0,-0.3091098482481251,1,58.46,-0.14660974897077744,False,True
68,0.9171320790674793,1,-0.26665431055010325,0,-0.32448884694554964,0,60.99,-0.14660974897077744,False,True
70,0.3236315032688978,2,-0.4206141834914433,2,-0.2300178549470877,0,68.07,-0.14660974897077744,False,True
71,-0.9712788439280076,2,-1.0364536752568037,2,1.1614153605341284,0,65.45,0.7659833445732009,False,True
72,0.03119758319359733,1,0.349185181215257,0,1.60081532331767,0,66.94,-0.5223833757241804,False,True
73,-0.3238236703295549,2,1.4269042918046375,0,1.6374319868829654,0,68.53,-0.5223833757241804,False,True
74,1.4922880916141046,1,0.4600362897330217,0,0.9417153791423573,0,59.75,-0.7585839411120335,False,True
75,-0.5612239006489879,1,0.22601728286218536,0,0.8150217232064357,0,67.2,0.5083100005137248,False,True
77,0.0430675947095689,0,0.49236786305070435,0,-0.8891177991224005,0,64.27,-0.6297472690822955,True,False
78,1.0789958724670925,2,-0.5745740564327834,2,-0.303251182077678,0,57.65,2.269077851586813,False,True
79,2.2552061045042824,2,-0.6515539929034534,2,0.9446447122275813,0,59.42,-0.20029169564983498,False,True
81,-0.8633696483282655,1,0.041265435332576865,0,-0.44971783633885865,1,62.35,-0.5223833757241804,True,False
82,-0.7554604527285232,2,-0.26665431055010325,0,0.9417153791423573,0,70.2,0.12179998442451034,False,True
84,0.9710866768673504,2,-0.1126944376087632,2,0.7952487248811766,0,66.69,0.12179998442451034,False,True
85,-0.7554604527285232,2,0.19522530827391693,2,-1.3285177619059423,0,62.0,0.12179998442451034,False,True
86,2.1397432652125574,1,1.3037363934515658,0,0.41004142417427125,0,76.18,1.1954389180056615,True,False
87,-0.7554604527285232,1,-0.7285339293741234,0,-0.44971783633885865,0,57.03,-0.7371111624404106,False,True
89,-0.8633696483282655,1,0.6571049270979371,0,-1.1088177805141712,1,64.36,-0.8444750557985257,True,False
90,0.539449894468382,2,0.041265435332576865,2,-0.8158844719918101,1,62.36,-0.8444750557985257,True,False
91,2.158087828464514,1,2.0427437835699975,0,1.3811153419258992,0,68.03,0.12179998442451034,True,False
93,-0.10800527913007066,2,-0.4206141834914433,0,-0.08355120068590706,0,59.47,-0.6297472690822955,True,False
95,-0.8633696483282655,1,-0.7285339293741234,0,-1.410539088292203,0,54.97,-0.30765558900795015,False,True
96,0.8631774812676082,1,-0.5745740564327834,0,1.6345026537977412,0,62.16,1.4101667047218918,False,True
97,-9.608353032855811e-05,2,1.1189845459219574,0,-0.5229511634694489,0,64.44,0.12179998442451034,True,False
99,0.3236315032688978,1,-0.5745740564327834,0,-0.2300178549470877,0,57.31,-0.7371111624404106,True,False
102,0.21572230766915565,1,-0.1126944376087632,0,0.3558487620976348,1,60.44,0.9807111312894312,False,True
103,-0.9712788439280076,1,-0.1126944376087632,0,-1.1454344440794664,0,61.31,0.12179998442451034,True,False
104,0.8631774812676082,2,0.6571049270979371,2,0.868482052011767,1,65.83,-0.5223833757241804,False,True
105,-0.7554604527285232,2,-0.5745740564327834,0,-1.3285177619059423,1,58.23,0.7659833445732009,False,True
108,2.158087828464514,1,2.1967036565113376,0,0.5023154163588154,1,73.52,-0.9518389491566408,False,True
109,1.2948142636665767,1,0.041265435332576865,0,0.7952487248811766,0,58.31,0.12179998442451034,False,True
111,-9.608353032855811e-05,2,0.503145054156597,2,-1.1674044422186434,1,54.8,-0.41501948236606523,True,False
113,-0.9712788439280076,1,-1.1904135481981437,0,-1.1088177805141712,1,53.94,-0.41501948236606523,False,True
114,0.9710866768673504,1,-0.26665431055010325,0,-0.0725662016163181,0,63.08,-0.09292780229171989,True,False
115,-0.21591447472981276,2,0.041265435332576865,0,-1.4237210871757093,1,55.01,-0.41501948236606523,False,True
116,-0.7554604527285232,2,-0.4206141834914433,0,1.1614153605341284,0,60.5,-0.7800567197836565,True,False
117,0.30204966414894907,1,-0.32823825972664017,0,1.6740486504482606,0,70.85,0.12179998442451034,False,True
118,0.539449894468382,2,0.6571049270979371,2,0.5023154163588154,0,67.05,-0.5223833757241804,False,True
119,1.0789958724670925,2,1.4269042918046375,2,1.7472819775788508,1,70.48,-0.1358733596349659,False,True
120,-0.17275079648991531,1,-0.6361580056093202,0,-1.0052019277011552e-16,0,64.34,6.993089159343877,False,True
122,-0.3238236703295549,2,0.13364135909738,2,-1.2794514327284465,1,71.49,-0.41501948236606523,True,False
123,-0.3454055094495036,0,0.08745339721497845,0,0.5316087472110519,0,71.0,-0.5653289330674264,True,False
124,-1.1870972351274918,1,0.6571049270979371,0,-0.9623511262529908,1,56.7,-0.5223833757241804,False,True
125,0.10781311206941355,2,-0.6777271713034815,1,-0.6694178177306296,1,61.26,-0.41501948236606523,False,True
126,0.3236315032688978,1,0.6571049270979371,0,0.13614878070586386,0,73.33,0.6586194512150859,True,False
127,-0.9712788439280076,2,1.0420046094512874,2,-0.2300178549470877,0,68.2,-0.8444750557985257,True,False
128,-1.0791880395277498,2,0.041265435332576865,0,-1.2919010983406471,1,58.4,-0.41501948236606523,True,False
129,0.36679518150879525,2,1.383795527381062,2,0.590195408915524,1,76.26,1.1954389180056615,False,True
130,2.1257150697845915,1,-0.4206141834914433,0,1.2346486876647187,0,68.55,-0.41501948236606523,False,True
132,-1.402915626326976,2,-1.0364536752568037,1,0.5023154163588154,0,60.78,0.7659833445732009,True,False
133,-0.21591447472981276,1,-0.7285339293741234,0,0.0922087844275101,1,53.49,0.12179998442451034,False,True
134,-0.6475512571287813,1,1.2729444188632975,0,-0.5961844906000392,1,60.98,-0.41501948236606523,False,True
135,2.373906219663998,1,0.503145054156597,0,1.5275819961870798,0,67.13,-0.41501948236606523,True,False
136,-1.510824821926718,2,0.041265435332576865,0,-1.2845777656275879,1,65.63,-0.9518389491566408,True,False
138,-0.7554604527285232,1,0.503145054156597,0,-1.255284434775352,1,60.41,-0.6834292157613531,False,True
139,-0.6475512571287813,2,0.6571049270979371,2,1.6740486504482606,0,71.77,-0.41501948236606523,True,False
140,-9.608353032855811e-05,1,-1.4983332940808238,0,-1.1088177805141712,0,54.43,-0.7371111624404106,False,True
141,-0.5612239006489879,1,0.1182453718032469,0,-1.255284434775352,0,56.94,-0.2539736423288926,False,True
143,-1.0791880395277498,2,0.7233076724627144,2,-0.9623511262529908,0,61.29,-0.30765558900795015,False,True
144,-0.5515120730450107,1,0.29837842314461505,0,1.1614153605341284,0,60.39,0.12179998442451034,False,True
146,-0.46842199243320964,2,0.387675149450592,2,-0.08355120068590706,1,63.23,1.1954389180056615,False,True
147,-0.7554604527285232,2,-0.4206141834914433,0,0.868482052011767,1,55.14,-0.5975381010748609,False,True
148,0.4315406988686399,1,-0.5745740564327834,0,0.7220153977505863,0,62.28,0.12179998442451034,False,True
149,1.7264510460655451,0,-1.960212912904844,1,-1.1820511076447615,0,64.08,-0.5223833757241804,True,False
151,-1.2237863616314044,2,-1.6522931670221639,2,-1.255284434775352,0,61.3,4.308991825391,False,True
152,-0.5396420615290392,1,0.9650246729806172,0,0.7220153977505863,0,58.87,-0.20029169564983498,False,True
153,-1.0252334417278786,2,2.3506635294526776,2,1.8205153047094411,0,65.25,-0.5223833757241804,True,False
154,-1.1870972351274918,2,-0.5745740564327834,2,0.9417153791423573,0,62.48,0.5512555578569708,False,True
155,-0.7554604527285232,2,-1.3443734211394838,0,-0.2300178549470877,0,53.2,-0.41501948236606523,False,True
157,-0.06484160089017321,2,-0.5745740564327834,2,0.5023154163588154,1,52.72,-0.3613375356870077,False,True
158,-0.8094150505283944,1,-1.2058095354922778,0,1.483641999908726,0,55.03,0.12179998442451034,False,True
161,0.4315406988686399,2,-0.5745740564327834,2,0.13614878070586386,1,72.29,0.12179998442451034,False,True
163,1.899105759025132,1,1.3114343870986325,0,0.15079544613198212,0,66.06,-0.039245855612662334,False,True
164,-0.3238236703295549,2,-0.7285339293741234,2,0.13614878070586386,0,66.46,2.269077851586813,False,True
165,0.26967690546902673,1,-0.8286078467859943,0,-1.4720550830818993,0,65.52,-0.41501948236606523,True,False
167,-0.8633696483282655,1,-1.3443734211394838,0,-0.7426511448612199,1,52.38,-0.5223833757241804,False,True
172,1.0789958724670925,1,0.503145054156597,0,-0.6847968164280536,0,66.04,0.01443609106639523,False,True
173,-1.295006430727234,1,-1.960212912904844,0,0.7952487248811766,1,52.64,0.12179998442451034,False,True
175,-2.0687153631773847,2,-0.6869647636799623,2,-0.6694178177306296,0,66.23,2.269077851586813,False,True
177,-1.0791880395277498,1,-1.960212912904844,0,-1.3285177619059423,1,57.9,-0.7371111624404106,True,False
178,2.913452197662709,1,1.5808641647459776,0,1.1614153605341284,0,70.81,3.8795362519585392,True,False
179,-1.510824821926718,2,-0.1126944376087632,2,-0.010317873555316756,1,68.07,0.6586194512150859,False,True
181,0.1617677098692846,1,-0.9132857769037319,0,-1.1820511076447615,0,56.6,-0.2539736423288926,False,True
184,0.7552682856678661,1,0.041265435332576865,0,-0.9623511262529908,1,61.82,-0.1358733596349659,False,True
186,0.21572230766915565,2,1.4269042918046375,1,0.648782070619996,1,71.43,-0.39354670369444217,True,False
188,-0.485687463729168,2,-0.26665431055010325,2,1.60081532331767,0,64.86,-0.09292780229171989,False,True
192,-0.9712788439280076,2,0.503145054156597,0,-0.08355120068590706,0,61.01,-0.2647100316647041,False,True
193,-0.9281151656881108,1,-0.6053660310210518,0,1.483641999908726,0,57.34,-0.20029169564983498,False,True
194,-0.7554604527285232,0,-1.960212912904844,1,0.5023154163588154,1,56.63,0.12179998442451034,True,False
196,0.6473590900681241,1,0.503145054156597,0,0.7952487248811766,1,58.95,-0.14660974897077744,False,True
197,-0.7554604527285232,2,1.3499243553339675,2,0.3558487620976348,0,54.48,-0.41501948236606523,False,True
198,-1.8345524087259444,2,3.428382640042058,2,-1.012149788701792,1,69.71,-0.30765558900795015,True,False
200,-0.5396420615290392,1,-1.806253039963504,0,-0.010317873555316756,1,55.8,-0.2539736423288926,False,True
201,-1.0791880395277498,1,-0.5745740564327834,0,1.0552270361947722,0,52.81,0.12179998442451034,False,True
203,-0.7554604527285232,2,-0.4206141834914433,2,-0.8686124675258351,1,60.11,-0.5223833757241804,False,True
204,-0.9356688093800928,1,-1.8262678234458785,0,-0.5229511634694489,1,58.3,-0.30765558900795015,False,True
205,0.3236315032688978,1,0.6571049270979371,0,0.5023154163588154,0,67.69,-0.8444750557985257,True,False
206,-0.8633696483282655,1,-0.5745740564327834,0,-0.8158844719918101,0,56.81,-0.41501948236606523,False,True
208,0.8631774812676082,1,-1.1904135481981437,0,1.1291926965966688,0,71.55,0.12179998442451034,False,True
210,0.21572230766915565,1,-0.5745740564327834,0,-0.44971783633885865,0,56.49,-0.7800567197836565,False,True
211,1.2948142636665767,1,1.3653203426281006,0,1.307882014795309,0,74.49,1.1954389180056615,False,True
212,-1.0791880395277498,2,0.503145054156597,2,0.06291545357527356,0,53.62,-0.14660974897077744,False,True
213,-0.3238236703295549,1,0.6571049270979371,0,-1.035584453383581,0,69.72,0.06811803774545279,False,True
214,-0.43173286592929694,1,-1.6522931670221639,0,-0.2300178549470877,1,60.23,-0.9088933918133947,True,False
