cylinders,displacement,hp,weight_lbs,acceleration,year,weight_kg,vehicle_age,miles_per_gallon
4.0,121.0,112.0,2933.0,14.5,72,1330.385336,54,18.0
4.0,121.0,76.0,2511.0,18.0,72,1138.969512,54,22.0
4.0,120.0,87.0,2979.0,19.5,72,1351.250568,54,21.0
4.0,96.0,69.0,2189.0,18.0,72,992.912888,54,26.0
4.0,122.0,86.0,2395.0,16.0,72,1086.35284,54,22.0
4.0,97.0,92.0,2288.0,17.0,72,1037.818496,54,28.0
4.0,120.0,97.0,2506.0,14.5,72,1136.701552,54,23.0
4.0,98.0,80.0,2164.0,15.0,72,981.573088,54,28.0
4.0,97.0,88.0,2100.0,16.5,72,952.5432,54,27.0
8.0,350.0,175.0,4100.0,13.0,73,1859.7272,53,13.0
8.0,304.0,150.0,3672.0,11.5,73,1665.589824,53,14.0
8.0,350.0,145.0,3988.0,13.0,73,1808.924896,53,13.0
8.0,302.0,137.0,4042.0,14.5,73,1833.418864,53,14.0
8.0,318.0,150.0,3777.0,12.5,73,1713.216984,53,15.0
8.0,429.0,198.0,4952.0,11.5,73,2246.187584,53,12.0
8.0,400.0,150.0,4464.0,12.0,73,2024.834688,53,13.0
8.0,351.0,158.0,4363.0,13.0,73,1979.021896,53,13.0
8.0,318.0,150.0,4237.0,14.5,73,1921.869304,53,14.0
8.0,440.0,215.0,4735.0,11.0,73,2147.75812,53,13.0
8.0,455.0,225.0,4951.0,11.0,73,2245.733992,53,12.0
8.0,360.0,175.0,3821.0,11.0,73,1733.1750319999999,53,13.0
6.0,225.0,105.0,3121.0,16.5,73,1415.660632,53,18.0
6.0,250.0,100.0,3278.0,18.0,73,1486.874576,53,16.0
6.0,232.0,100.0,2945.0,16.0,73,1335.82844,53,18.0
6.0,250.0,88.0,3021.0,16.5,73,1370.301432,53,18.0
6.0,198.0,95.0,2904.0,16.0,73,1317.231168,53,23.0
4.0,97.0,46.0,1950.0,21.0,73,884.5044,53,26.0
8.0,400.0,150.0,4997.0,14.0,73,2266.599224,53,11.0
8.0,400.0,167.0,4906.0,12.5,73,2225.322352,53,12.0
8.0,360.0,170.0,4654.0,13.0,73,2111.017168,53,13.0
8.0,350.0,180.0,4499.0,12.5,73,2040.710408,53,12.0
6.0,232.0,100.0,2789.0,15.0,73,1265.068088,53,18.0
4.0,97.0,88.0,2279.0,19.0,73,1033.736168,53,20.0
4.0,140.0,72.0,2401.0,19.5,73,1089.074392,53,21.0
4.0,108.0,94.0,2379.0,16.5,73,1079.095368,53,22.0
3.0,70.0,90.0,2124.0,13.5,73,963.429408,53,18.0
4.0,122.0,85.0,2310.0,18.5,73,1047.79752,53,19.0
6.0,155.0,107.0,2472.0,14.0,73,1121.279424,53,21.0
4.0,98.0,90.0,2265.0,15.5,73,1027.38588,53,26.0
8.0,350.0,145.0,4082.0,13.0,73,1851.562544,53,15.0
8.0,400.0,230.0,4278.0,9.5,73,1940.466576,53,16.0
4.0,68.0,49.0,1867.0,19.5,73,846.856264,53,29.0
4.0,116.0,75.0,2158.0,15.5,73,978.851536,53,24.0
4.0,114.0,91.0,2582.0,14.0,73,1171.174544,53,20.0
4.0,121.0,112.0,2868.0,15.5,73,1300.901856,53,19.0
8.0,318.0,150.0,3399.0,11.0,73,1541.759208,53,15.0
4.0,121.0,110.0,2660.0,14.0,73,1206.55472,53,24.0
6.0,156.0,122.0,2807.0,13.5,73,1273.232744,53,20.0
8.0,350.0,180.0,3664.0,11.0,73,1661.961088,53,11.0
6.0,198.0,95.0,3102.0,16.5,74,1407.042384,52,20.0
6.0,200.0,92.5,2875.0,17.0,74,1304.077,52,21.0
6.0,232.0,92.5,2901.0,16.0,74,1315.870392,52,19.0
6.0,250.0,100.0,3336.0,17.0,74,1513.182912,52,15.0
4.0,79.0,67.0,1950.0,19.0,74,884.5044,52,31.0
4.0,122.0,80.0,2451.0,16.5,74,1111.753992,52,26.0
4.0,71.0,92.5,1836.0,15.5,74,832.794912,52,32.0
4.0,140.0,75.0,2542.0,17.0,74,1153.030864,52,25.0
6.0,250.0,100.0,3781.0,17.0,74,1715.031352,52,16.0
6.0,258.0,110.0,3632.0,18.0,74,1647.446144,52,16.0
6.0,225.0,105.0,3613.0,16.5,74,1638.827896,52,18.0
8.0,302.0,92.5,4141.0,14.0,74,1878.324472,52,16.0
8.0,350.0,150.0,4699.0,14.5,74,2131.428808,52,13.0
8.0,318.0,150.0,4457.0,13.5,74,2021.6595439999999,52,14.0
8.0,302.0,140.0,4638.0,16.0,74,2103.759696,52,14.0
8.0,304.0,150.0,4257.0,15.5,74,1930.941144,52,14.0
4.0,98.0,83.0,2219.0,16.5,74,1006.5206479999999,52,29.0
4.0,79.0,67.0,1963.0,15.5,74,890.4010959999999,52,26.0
4.0,97.0,78.0,2300.0,14.5,74,1043.2616,52,26.0
4.0,76.0,52.0,1649.0,16.5,74,747.973208,52,31.0
4.0,83.0,61.0,2003.0,19.0,74,908.544776,52,32.0
4.0,90.0,75.0,2125.0,14.5,74,963.883,52,28.0
4.0,90.0,75.0,2108.0,15.5,74,956.171936,52,24.0
4.0,116.0,75.0,2246.0,14.0,74,1018.7676319999999,52,26.0
4.0,120.0,97.0,2489.0,15.0,74,1128.990488,52,24.0
4.0,108.0,93.0,2391.0,15.5,74,1084.538472,52,26.0
4.0,79.0,67.0,2000.0,16.0,74,907.184,52,31.0
6.0,225.0,95.0,3264.0,16.0,75,1480.524288,51,19.0
6.0,250.0,105.0,3459.0,16.0,75,1568.974728,51,18.0
6.0,250.0,72.0,3432.0,21.0,75,1556.727744,51,15.0
6.0,250.0,72.0,3158.0,19.5,75,1432.443536,51,15.0
8.0,400.0,170.0,4668.0,11.5,75,2117.367456,51,16.0
8.0,350.0,145.0,4440.0,14.0,75,2013.94848,51,15.0
8.0,318.0,150.0,4498.0,14.5,75,2040.256816,51,16.0
8.0,351.0,148.0,4657.0,13.5,75,2112.377944,51,14.0
6.0,231.0,110.0,3907.0,21.0,75,1772.1839439999999,51,17.0
6.0,250.0,105.0,3897.0,18.5,75,1767.648024,51,16.0
6.0,258.0,110.0,3730.0,19.0,75,1691.89816,51,15.0
6.0,225.0,95.0,3785.0,19.0,75,1716.84572,51,18.0
6.0,231.0,110.0,3039.0,15.0,75,1378.466088,51,21.0
8.0,262.0,110.0,3221.0,13.5,75,1461.019832,51,20.0
8.0,302.0,129.0,3169.0,12.0,75,1437.4330479999999,51,13.0
4.0,97.0,75.0,2171.0,16.0,75,984.748232,51,29.0
4.0,140.0,83.0,2639.0,17.0,75,1197.029288,51,23.0
6.0,232.0,100.0,2914.0,16.0,75,1321.767088,51,20.0
4.0,140.0,78.0,2592.0,18.5,75,1175.710464,51,23.0
4.0,134.0,96.0,2702.0,13.5,75,1225.605584,51,24.0
4.0,90.0,71.0,2223.0,16.5,75,1008.335016,51,25.0
4.0,119.0,97.0,2545.0,17.0,75,1154.39164,51,24.0
6.0,171.0,97.0,2984.0,14.5,75,1353.518528,51,18.0
4.0,90.0,70.0,1937.0,14.0,75,878.607704,51,29.0
6.0,232.0,90.0,3211.0,17.0,75,1456.483912,51,19.0
4.0,115.0,95.0,2694.0,15.0,75,1221.976848,51,23.0
4.0,120.0,88.0,2957.0,17.0,75,1341.271544,51,23.0
4.0,121.0,98.0,2945.0,14.5,75,1335.82844,51,22.0
4.0,121.0,115.0,2671.0,13.5,75,1211.544232,51,25.0
4.0,91.0,53.0,1795.0,17.5,75,814.19764,51,33.0
4.0,107.0,86.0,2464.0,15.5,76,1117.650688,50,28.0
4.0,116.0,81.0,2220.0,16.9,76,1006.97424,50,25.0
4.0,140.0,92.0,2572.0,14.9,76,1166.638624,50,25.0
4.0,98.0,79.0,2255.0,17.7,76,1022.84996,50,26.0
4.0,101.0,83.0,2202.0,15.3,76,998.809584,50,27.0
8.0,305.0,140.0,4215.0,13.0,76,1911.89028,50,17.5
8.0,318.0,150.0,4190.0,13.0,76,1900.5504799999999,50,16.0
8.0,304.0,120.0,3962.0,13.9,76,1797.131504,50,15.5
8.0,351.0,152.0,4215.0,12.8,76,1911.89028,50,14.5
6.0,225.0,100.0,3233.0,15.4,76,1466.462936,50,22.0
6.0,250.0,105.0,3353.0,14.5,76,1520.893976,50,22.0
6.0,200.0,81.0,3012.0,17.6,76,1366.219104,50,24.0
6.0,232.0,90.0,3085.0,17.6,76,1399.33132,50,22.5
4.0,85.0,52.0,2035.0,22.2,76,923.05972,50,29.0
4.0,98.0,60.0,2164.0,22.1,76,981.573088,50,24.5
4.0,90.0,70.0,1937.0,14.2,76,878.607704,50,29.0
4.0,91.0,53.0,1795.0,17.4,76,814.19764,50,33.0
6.0,225.0,100.0,3651.0,17.7,76,1656.064392,50,20.0
6.0,250.0,78.0,3574.0,21.0,76,1621.137808,50,18.0
6.0,250.0,110.0,3645.0,16.2,76,1653.34284,50,18.5
6.0,258.0,95.0,3193.0,17.8,76,1448.319256,50,17.5
4.0,97.0,71.0,1825.0,12.2,76,827.8054,50,29.5
4.0,85.0,70.0,1990.0,17.0,76,902.6480799999999,50,32.0
4.0,97.0,75.0,2155.0,16.4,76,977.49076,50,28.0
4.0,140.0,72.0,2565.0,13.6,76,1163.46348,50,26.5
4.0,130.0,102.0,3150.0,15.7,76,1428.8147999999999,50,20.0
8.0,318.0,150.0,3940.0,13.2,76,1787.15248,50,13.0
4.0,120.0,88.0,3270.0,21.9,76,1483.24584,50,19.0
6.0,156.0,108.0,2930.0,15.5,76,1329.02456,50,19.0
6.0,168.0,120.0,3820.0,16.7,76,1732.72144,50,16.5
8.0,350.0,180.0,4380.0,12.1,76,1986.73296,50,16.5
8.0,350.0,145.0,4055.0,12.0,76,1839.31556,50,13.0
8.0,302.0,130.0,3870.0,15.0,76,1755.40104,50,13.0
8.0,318.0,150.0,3755.0,14.0,76,1703.23796,50,13.0
4.0,98.0,68.0,2045.0,18.5,77,927.59564,49,31.5
4.0,111.0,80.0,2155.0,14.8,77,977.49076,49,30.0
4.0,79.0,58.0,1825.0,18.6,77,827.8054,49,36.0
4.0,122.0,96.0,2300.0,15.5,77,1043.2616,49,25.5
4.0,85.0,70.0,1945.0,16.8,77,882.23644,49,33.5
8.0,305.0,145.0,3880.0,12.5,77,1759.93696,49,17.5
8.0,260.0,110.0,4060.0,19.0,77,1841.58352,49,17.0
8.0,318.0,145.0,4140.0,13.7,77,1877.87088,49,15.5
8.0,302.0,130.0,4295.0,14.9,77,1948.1776399999999,49,15.0
6.0,250.0,110.0,3520.0,16.4,77,1596.64384,49,17.5
6.0,231.0,105.0,3425.0,16.9,77,1553.5526,49,20.5
6.0,225.0,100.0,3630.0,17.7,77,1646.53896,49,19.0
6.0,250.0,98.0,3525.0,19.0,77,1598.9118,49,18.5
8.0,400.0,180.0,4220.0,11.1,77,1914.15824,49,16.0
8.0,350.0,170.0,4165.0,11.4,77,1889.21068,49,15.5
8.0,400.0,190.0,4325.0,12.2,77,1961.7854,49,15.5
8.0,351.0,149.0,4335.0,14.5,77,1966.32132,49,16.0
4.0,97.0,78.0,1940.0,14.5,77,879.96848,49,29.0
4.0,151.0,88.0,2740.0,16.0,77,1242.84208,49,24.5
4.0,97.0,75.0,2265.0,18.2,77,1027.38588,49,26.0
4.0,140.0,89.0,2755.0,15.8,77,1249.64596,49,25.5
4.0,98.0,63.0,2051.0,17.0,77,930.317192,49,30.5
4.0,98.0,83.0,2075.0,15.9,77,941.2034,49,33.5
4.0,97.0,67.0,1985.0,16.4,77,900.38012,49,30.0
4.0,97.0,78.0,2190.0,14.1,77,993.36648,49,30.5
6.0,146.0,97.0,2815.0,14.5,77,1276.86148,49,22.0
4.0,121.0,110.0,2600.0,12.8,77,1179.3392,49,21.5
3.0,80.0,110.0,2720.0,13.5,77,1233.77024,49,21.5
4.0,90.0,48.0,1985.0,21.5,78,900.38012,48,43.1
4.0,98.0,66.0,1800.0,14.4,78,816.4656,48,36.1
4.0,78.0,52.0,1985.0,19.4,78,900.38012,48,32.8
4.0,85.0,70.0,2070.0,18.6,78,938.93544,48,39.4
4.0,91.0,60.0,1800.0,16.4,78,816.4656,48,36.1
8.0,260.0,110.0,3365.0,15.5,78,1526.33708,48,19.9
8.0,318.0,140.0,3735.0,13.2,78,1694.16612,48,19.4
8.0,302.0,139.0,3570.0,12.8,78,1619.32344,48,20.2
6.0,231.0,105.0,3535.0,19.2,78,1603.44772,48,19.2
6.0,200.0,95.0,3155.0,18.2,78,1431.08276,48,20.5
6.0,200.0,85.0,2965.0,15.8,78,1344.90028,48,20.2
4.0,140.0,88.0,2720.0,15.4,78,1233.77024,48,25.1
6.0,225.0,100.0,3430.0,17.2,78,1555.82056,48,20.5
6.0,232.0,90.0,3210.0,17.2,78,1456.03032,48,19.4
6.0,231.0,105.0,3380.0,15.8,78,1533.14096,48,20.6
6.0,200.0,85.0,3070.0,16.7,78,1392.52744,48,20.8
6.0,225.0,110.0,3620.0,18.7,78,1642.00304,48,18.6
6.0,258.0,120.0,3410.0,15.1,78,1546.74872,48,18.1
8.0,305.0,145.0,3425.0,13.2,78,1553.5526,48,19.2
6.0,231.0,165.0,3445.0,13.4,78,1562.62444,48,17.7
8.0,302.0,139.0,3205.0,11.2,78,1453.76236,48,18.1
8.0,146.0,140.0,4080.0,13.7,78,1850.65536,48,17.5
4.0,98.0,68.0,2155.0,16.5,78,977.49076,48,30.0
4.0,134.0,95.0,2560.0,14.2,78,1161.19552,48,27.5
4.0,119.0,97.0,2300.0,14.7,78,1043.2616,48,27.2
4.0,105.0,75.0,2230.0,14.5,78,1011.51016,48,30.9
4.0,134.0,95.0,2515.0,14.8,78,1140.78388,48,21.1
4.0,146.0,105.0,2745.0,16.7,78,1245.11004,48,23.2
4.0,151.0,85.0,2855.0,17.6,78,1295.00516,48,23.8
4.0,119.0,97.0,2405.0,14.9,78,1090.88876,48,23.9
5.0,131.0,103.0,2830.0,15.9,78,1283.66536,48,20.3
6.0,163.0,125.0,3140.0,13.6,78,1424.27888,48,17.0
4.0,121.0,115.0,2795.0,15.7,78,1267.78964,48,21.6
6.0,163.0,133.0,3410.0,15.8,78,1546.74872,48,16.2
4.0,89.0,71.0,1990.0,14.9,78,902.6480799999999,48,31.5
4.0,98.0,68.0,2135.0,16.6,78,968.41892,48,29.5
6.0,231.0,115.0,3245.0,15.4,79,1471.90604,47,21.5
6.0,200.0,85.0,2990.0,18.2,79,1356.24008,47,19.8
4.0,146.0,88.0,2890.0,17.3,79,1310.88088,47,22.3
6.0,232.0,90.0,3265.0,18.2,79,1480.97788,47,20.2
6.0,225.0,92.5,3360.0,16.6,79,1524.0691199999999,47,20.6
8.0,305.0,130.0,3840.0,15.4,79,1741.7932799999999,47,17.0
8.0,302.0,129.0,2797.5,13.4,79,1268.92362,47,17.6
8.0,351.0,138.0,3955.0,13.2,79,1793.95636,47,16.5
8.0,318.0,135.0,3830.0,15.2,79,1737.25736,47,18.2
8.0,350.0,155.0,4360.0,14.9,79,1977.66112,47,16.9
8.0,351.0,142.0,4054.0,14.3,79,1838.861968,47,15.5
8.0,267.0,125.0,3605.0,15.0,79,1635.19916,47,19.2
8.0,360.0,150.0,3940.0,13.0,79,1787.15248,47,18.5
4.0,89.0,71.0,1925.0,14.0,79,873.1646,47,31.9
4.0,86.0,65.0,1975.0,15.2,79,895.8442,47,34.1
4.0,98.0,80.0,1915.0,14.4,79,868.62868,47,35.7
4.0,121.0,80.0,2670.0,15.0,79,1211.09064,47,27.4
5.0,183.0,77.0,3530.0,20.1,79,1601.17976,47,25.4
8.0,350.0,125.0,3900.0,17.4,79,1769.0088,47,23.0
4.0,141.0,71.0,3190.0,24.8,79,1446.95848,47,27.2
8.0,260.0,90.0,3420.0,22.2,79,1551.28464,47,23.9
4.0,105.0,70.0,2200.0,13.2,79,997.9024,47,34.2
4.0,105.0,70.0,2150.0,14.9,79,975.2228,47,34.5
4.0,85.0,65.0,2020.0,19.2,79,916.25584,47,31.8
4.0,91.0,69.0,2130.0,14.7,79,966.1509599999999,47,37.3
4.0,151.0,90.0,2670.0,16.0,79,1211.09064,47,28.4
6.0,173.0,115.0,2595.0,11.3,79,1177.07124,47,28.8
6.0,173.0,115.0,2700.0,12.9,79,1224.6984,47,26.8
4.0,151.0,90.0,2556.0,13.2,79,1159.381152,47,33.5
4.0,98.0,76.0,2144.0,14.7,80,972.501248,46,41.5
4.0,89.0,60.0,1968.0,18.8,80,892.669056,46,38.1
4.0,98.0,70.0,2120.0,15.5,80,961.61504,46,32.1
4.0,86.0,65.0,2019.0,16.4,80,915.802248,46,37.2
4.0,151.0,90.0,2678.0,16.5,80,1214.719376,46,28.0
4.0,140.0,88.0,2870.0,18.1,80,1301.80904,46,26.4
4.0,151.0,90.0,3003.0,20.1,80,1362.136776,46,24.3
6.0,225.0,90.0,3381.0,18.7,80,1533.594552,46,19.1
4.0,97.0,78.0,2188.0,15.8,80,992.459296,46,34.3
4.0,134.0,90.0,2711.0,15.5,80,1229.687912,46,29.8
4.0,120.0,75.0,2542.0,17.5,80,1153.030864,46,31.3
4.0,119.0,92.0,2434.0,15.0,80,1104.042928,46,37.0
4.0,108.0,75.0,2265.0,15.2,80,1027.38588,46,32.2
4.0,86.0,65.0,2110.0,17.9,80,957.07912,46,46.6
4.0,156.0,105.0,2800.0,14.4,80,1270.0576,46,27.9
4.0,85.0,65.0,2110.0,19.2,80,957.07912,46,40.8
4.0,90.0,48.0,2085.0,21.7,80,945.73932,46,44.3
4.0,90.0,48.0,2335.0,23.7,80,1059.13732,46,43.4
5.0,121.0,67.0,2950.0,19.9,80,1338.0964,46,36.4
4.0,146.0,67.0,3250.0,21.8,80,1474.174,46,30.0
4.0,91.0,67.0,1850.0,13.8,80,839.1452,46,44.6
4.0,85.0,92.5,1835.0,17.3,80,832.34132,46,40.9
4.0,97.0,67.0,2145.0,18.0,80,972.95484,46,33.8
4.0,89.0,62.0,1845.0,15.3,80,836.87724,46,29.8
6.0,168.0,132.0,2910.0,11.4,80,1319.95272,46,32.7
3.0,70.0,100.0,2420.0,12.5,80,1097.69264,46,23.7
4.0,122.0,88.0,2500.0,15.1,80,1133.98,46,35.0
4.0,140.0,92.5,2905.0,14.3,80,1317.68476,46,23.6
4.0,107.0,72.0,2290.0,17.0,80,1038.72568,46,32.4
4.0,135.0,84.0,2490.0,15.7,81,1129.44408,45,27.2
4.0,151.0,84.0,2635.0,16.4,81,1195.21492,45,26.6
4.0,156.0,92.0,2620.0,14.4,81,1188.41104,45,25.8
6.0,173.0,110.0,2725.0,12.6,81,1236.0382,45,23.5
4.0,135.0,84.0,2385.0,12.9,81,1081.81692,45,30.0
4.0,79.0,58.0,1755.0,16.9,81,796.05396,45,39.1
4.0,86.0,64.0,1875.0,16.4,81,850.485,45,39.0
4.0,81.0,60.0,1760.0,16.1,81,798.32192,45,35.1
4.0,97.0,67.0,2065.0,17.8,81,936.66748,45,32.3
4.0,85.0,65.0,1975.0,19.4,81,895.8442,45,37.0
4.0,89.0,62.0,2050.0,17.3,81,929.8636,45,37.7
4.0,91.0,68.0,1985.0,16.0,81,900.38012,45,34.1
4.0,105.0,63.0,2215.0,14.9,81,1004.70628,45,34.7
4.0,98.0,65.0,2045.0,16.2,81,927.59564,45,34.4
4.0,98.0,65.0,2380.0,20.7,81,1079.54896,45,29.9
4.0,105.0,74.0,2190.0,14.2,81,993.36648,45,33.0
4.0,100.0,92.5,2320.0,15.8,81,1052.3334399999999,45,34.5
4.0,107.0,75.0,2210.0,14.4,81,1002.43832,45,33.7
4.0,108.0,75.0,2350.0,16.8,81,1065.9412,45,32.4
4.0,119.0,100.0,2615.0,14.8,81,1186.14308,45,32.9
4.0,120.0,74.0,2635.0,18.3,81,1195.21492,45,31.6
4.0,141.0,80.0,3230.0,20.4,81,1465.10216,45,28.1
6.0,145.0,76.0,3160.0,19.6,81,1433.35072,45,30.7
6.0,168.0,116.0,2900.0,12.6,81,1315.4168,45,25.4
6.0,146.0,120.0,2930.0,13.8,81,1329.02456,45,24.2
6.0,231.0,110.0,3415.0,15.8,81,1549.01668,45,22.4
8.0,350.0,105.0,3725.0,19.0,81,1689.6302,45,26.6
6.0,200.0,88.0,3060.0,17.1,81,1387.99152,45,20.2
6.0,225.0,85.0,3465.0,16.6,81,1571.69628,45,17.6
4.0,112.0,88.0,2605.0,19.6,82,1181.60716,44,28.0
4.0,112.0,88.0,2640.0,18.6,82,1197.48288,44,27.0
4.0,112.0,88.0,2395.0,18.0,82,1086.35284,44,34.0
4.0,112.0,85.0,2575.0,16.2,82,1167.9994,44,31.0
4.0,135.0,84.0,2525.0,16.0,82,1145.3198,44,29.0
4.0,151.0,90.0,2735.0,18.0,82,1240.57412,44,27.0
4.0,140.0,92.0,2865.0,16.4,82,1299.54108,44,24.0
4.0,151.0,92.5,3035.0,20.5,82,1376.65172,44,23.0
4.0,105.0,74.0,1980.0,15.3,82,898.11216,44,36.0
4.0,91.0,68.0,2025.0,18.2,82,918.5237999999999,44,37.0
4.0,91.0,68.0,1970.0,17.6,82,893.57624,44,31.0
4.0,105.0,63.0,2125.0,14.7,82,963.883,44,38.0
4.0,98.0,70.0,2125.0,17.3,82,963.883,44,36.0
4.0,120.0,88.0,2160.0,14.5,82,979.75872,44,36.0
4.0,107.0,75.0,2205.0,14.5,82,1000.17036,44,36.0
4.0,108.0,70.0,2245.0,16.9,82,1018.31404,44,34.0
4.0,91.0,67.0,1965.0,15.0,82,891.30828,44,38.0
4.0,91.0,67.0,1965.0,15.7,82,891.30828,44,32.0
4.0,91.0,67.0,1995.0,16.2,82,904.91604,44,38.0
6.0,181.0,110.0,2945.0,16.4,82,1335.82844,44,25.0
6.0,262.0,85.0,3015.0,17.0,82,1367.57988,44,38.0
4.0,156.0,92.0,2585.0,14.5,82,1172.53532,44,26.0
6.0,232.0,112.0,2835.0,14.7,82,1285.93332,44,22.0
4.0,144.0,96.0,2665.0,13.9,82,1208.82268,44,32.0
4.0,135.0,84.0,2370.0,13.0,82,1075.01304,44,36.0
4.0,151.0,90.0,2950.0,17.3,82,1338.0964,44,27.0
4.0,140.0,86.0,2790.0,15.6,82,1265.52168,44,27.0
4.0,97.0,52.0,2130.0,24.6,82,966.1509599999999,44,44.0
4.0,135.0,84.0,2295.0,11.6,82,1040.99364,44,32.0
4.0,120.0,79.0,2625.0,18.6,82,1190.679,44,28.0
